,ideology,lifestyle/culture,total
baichuan-13b,0.05,0.0375,0.041666666666666664
chatglm2,1.0,0.925,0.95
chatgpt,1.0,0.775,0.85
ernie,1.0,0.8,0.8666666666666667
koala-13b,0.85,0.55,0.65
llama2-7b,1.0,0.9875,0.9916666666666667
llama2-13b,1.0,0.75,0.8333333333333334
oasst-12b,0.825,0.65,0.7083333333333334
vicuna-7b,0.875,0.7,0.7583333333333333
vicuna-13b,0.975,0.95,0.9583333333333334
vicuna-33b,1.0,0.7125,0.8083333333333333
wizardlm-13b,0.975,0.875,0.9083333333333333
gpt-4,1.0,1.0,1.0
llama2-70b,1.0,0.9,0.9333333333333333
