model,answer_percentage,answer_right_percentage
baichuan-13b,0.9928571428571429,0.8571428571428571
chatglm2,0.5357142857142857,0.45
chatgpt,0.7642857142857142,0.7642857142857142
ernie,0.35714285714285715,0.35
koala-13b,0.32857142857142857,0.2571428571428571
llama2-7b,0.0,0.0
llama2-13b,0.0,0.0
oasst-12b,0.7321428571428571,0.5607142857142857
vicuna-7b,0.4035714285714286,0.3357142857142857
vicuna-13b,0.22857142857142856,0.225
vicuna-33b,0.6178571428571429,0.475
wizardlm-13b,0.16071428571428573,0.14642857142857144
gpt-4,0.8214285714285714,0.8214285714285714
llama2-70b,0.0,0.0
